0.3629,0.0657
-0.1082,-0.2985
2.3801,0.8780
2.1829,0.7519
0.5961,0.1003
0.8573,0.2450
1.3362,0.1741
-1.1313,-0.5845
0.0902,-0.3975
0.7970,-0.0582
-0.2819,-0.5390
1.4759,0.6886
-0.9591,-0.6105
-0.7610,-0.5482
-0.6374,-0.6586
-0.9528,-0.5447
0.4640,-0.1286
-0.6488,-0.3778
2.3473,0.8468
0.2150,-0.1396
-0.4817,-0.6304
2.3346,0.8098
2.8227,0.9595
0.6464,-0.1223
-1.2214,-0.7778
-0.2690,-0.4839
-0.1673,-0.1826
0.4101,0.1898
-0.2071,-0.4756
0.9114,0.2057
1.3248,0.4224
-0.2083,-0.5565
-0.9205,-0.7652
-0.1956,-0.4066
0.1346,-0.3624
0.5022,-0.1517
0.6082,0.0157
-1.4750,-0.8290
-0.7101,-0.4750
2.0906,0.6020
-1.8544,-0.9416
2.2053,0.8577
1.0893,0.4607
0.9331,-0.0228
1.0268,0.1571
-0.5504,-0.5254
0.3065,-0.0823
1.9120,0.9262
0.8692,0.0936
0.1270,0.0423
